id;address_1;address_2;city;country
1;mindshare Interactions Versatile;Frozen Rubber line;Ricardobury;Ukraine
2;bypassing;Zambian;Quincyhaven;Trinidad and Tobago
3;supply-chains Pants;Berkshire Buckinghamshire;New Chadrick;Virgin Islands, U.S.
4;purple Credit Developer;Chile;New Olebury;Suriname
5;Ports China;North bypassing capacitor;East Rod;Chile
6;interactive;grow orchid Leone;Aiyanaburgh;Denmark
7;Sausages ubiquitous Avon;Account Assimilated optical;East Gerdaport;Faroe Islands
8;alarm Dinar Bacon;object-oriented override;Lake Ron;Papua New Guinea
9;Texas;state Savings;New Rick;Myanmar
10;Administrator Borders Greece;Identity calculate bus;Lake Madgestad;Ethiopia
